participantID,exclusion,spr/char_excl,spr-wcg-break_interference_excl,rt_mean_excl,rt_max_post_excl,comp_prop_excl,catch_excl,read_story_excl,exp_time_away_excl,focusevents_excl,believed_instruction_excl,h_catpcha_verification_excl
2587,included,False,False,False,False,False,False,False,False,False,False,False
2588,included,False,False,False,False,False,False,False,False,False,False,False
2589,included,False,False,False,False,False,False,False,False,False,False,False
2590,excluded,True,False,False,False,True,False,False,True,False,False,False
2591,included,False,False,False,False,False,False,False,False,False,False,False
2592,included,False,False,False,False,False,False,False,False,False,False,False
2593,excluded,True,True,True,True,False,False,False,True,True,True,False
2594,included,False,False,False,False,False,False,False,False,False,False,False
2595,included,False,False,False,False,False,False,False,False,False,False,False
2596,excluded,False,False,False,False,False,False,False,False,False,True,False
2597,included,False,False,False,False,False,False,False,False,False,False,False
2598,excluded,False,True,False,False,False,False,False,True,False,False,False
2599,included,False,False,False,False,False,False,False,False,False,False,False
2600,included,False,False,False,False,False,False,False,False,False,False,False
2601,included,False,False,False,False,False,False,False,False,False,False,False
2602,included,False,False,False,False,False,False,False,False,False,False,False
2603,included,False,False,False,False,False,False,False,False,False,False,False
2604,included,False,False,False,False,False,False,False,False,False,False,False
2605,excluded,False,True,True,True,False,False,False,False,False,False,False
2606,excluded,True,True,False,False,False,False,True,False,False,False,False
2607,included,False,False,False,False,False,False,False,False,False,False,False
2608,included,False,False,False,False,False,False,False,False,False,False,False
2609,excluded,False,False,False,False,False,False,False,False,False,True,False
2610,included,False,False,False,False,False,False,False,False,False,False,False
2611,excluded,True,False,False,False,True,False,True,False,False,False,False
2612,excluded,False,False,False,False,False,False,False,True,True,True,False
2613,excluded,True,False,False,False,True,False,True,False,False,False,False
2614,included,False,False,False,False,False,False,False,False,False,False,False
2615,excluded,True,False,False,False,False,False,False,False,False,False,False
2616,included,False,False,False,False,False,False,False,False,False,False,False
2617,included,False,False,False,False,False,False,False,False,False,False,False
2618,included,False,False,False,False,False,False,False,False,False,False,False
2619,excluded,True,False,True,True,False,False,True,False,False,True,False
2620,excluded,True,False,False,False,True,False,False,True,True,False,False
2621,included,False,False,False,False,False,False,False,False,False,False,False
2622,excluded,False,False,False,True,False,False,False,False,False,False,False
2623,included,False,False,False,False,False,False,False,False,False,False,False
2624,excluded,False,True,False,False,False,False,False,False,False,False,False
2625,excluded,False,False,False,False,False,False,True,False,False,False,False
2626,excluded,False,False,False,True,False,False,False,False,False,False,False
2627,excluded,False,False,False,False,False,False,False,False,False,True,False
2628,included,False,False,False,False,False,False,False,False,False,False,False
2629,excluded,True,True,False,False,False,False,False,True,False,False,False
2630,excluded,False,False,True,False,False,False,False,False,False,False,False
2631,excluded,True,False,False,False,False,False,True,True,True,True,False
2632,excluded,False,False,False,False,False,False,False,False,False,True,False
2633,excluded,True,False,False,False,False,False,False,False,False,False,False
2634,excluded,True,False,False,True,True,False,False,True,True,False,False
2635,included,False,False,False,False,False,False,False,False,False,False,False
2636,excluded,True,False,False,False,True,False,False,False,False,False,False
2637,included,False,False,False,False,False,False,False,False,False,False,False
2638,included,False,False,False,False,False,False,False,False,False,False,False
2639,included,False,False,False,False,False,False,False,False,False,False,False
2640,excluded,False,False,False,False,False,False,False,False,False,True,False
2641,included,False,False,False,False,False,False,False,False,False,False,False
2642,included,False,False,False,False,False,False,False,False,False,False,False
2643,included,False,False,False,False,False,False,False,False,False,False,False
2644,excluded,False,False,False,True,False,False,False,False,False,False,False
2645,excluded,True,True,False,False,False,False,True,True,False,False,False
2646,excluded,True,True,False,False,False,False,True,True,True,False,False
2647,included,False,False,False,False,False,False,False,False,False,False,False
